;marca;preco
35;Notebook Dell Inspiron Intel Core I3 1115G4, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Windows 11 Home, Preto - I15-I1100-A30P;R$ 2.975,07
36;Notebook HP 256 G8 Intel Core I3, RAM 8GB, SSD 256GB, 15.6 Polegadas HD, Windows 11 Home Sl;R$ 2.474,10
37;Notebook Samsung Book Intel Celeron 6305, 4GB RAM, HD 500GB, 15.6 Full HD, Intel UHD Graphics, Linux, Cinza - NP550XDZ-KO4BR;R$ 1.999,99
38;Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, EMMC 128GB, 15.6 HD, Windows 11 Pro, Preto - E510MA-BR702X;R$ 1.799,99
39;Notebook Gamer ASUS Vivobook Pro 15 AMD Ryzen 7-6800H, 16GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD 144Hz, Windows 11, Azul - M6500RC-HN088W;R$ 6.999,99
40;Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR;R$ 2.969,10
41;Notebook Acer Aspire 3 Intel Celeron N4020 Dual Core, 4GB RAM, SSD 128GB, 15.6 HD, Windows 11, Microsoft Office, Preto - A315-34-C2BV;R$ 1.949,99
42;Notebook Gamer Acer Nitro 5 An517-54-70y7, Intel Core I7, 8GB, 512GB SSD, Rtx 3050, Linux, Gutta, 17.3 Polegadas, FHD;R$ 5.414,05
43;Notebook Gamer Dell Alienware m15 R6 Intel Core i7-11800H, 16GB RAM, SSD 1TB, GeForce RTX 3070, 15.6 FHD, Windows  11, Preto - AW15-i1100-A30P;R$ 14.999,99
44;Notebook Samsung Book Intel Core i3 4GB;R$ 2.250,00
45;Notebook Gamer Predator Helios 300 Ph315-54-70lh I7 11ª Windows 11 Home 16gb 512gb Ssd Rtx 3070 15,6;R$ 8.549,05
46;Notebook Gamer Acer Nitro 5, Intel Core i7-11800h, 8GB RAM, SSD 512, Nvidia GeForce GTX 1650, Tela de 17.3 Polegadas FHD, Linux - AN517-54-79WA;R$ 5.034,05
47;Notebook Samsung Galaxy Book2 360 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 13.3 FHD AMOLED, Iris Xe, Touch, Windows 11, Prata - NP730QED-KF4BR;R$ 7.099,99
48;Notebook HP Compaq Presario 427 Intel Pentium N3700, 4GB RAM, SSD 240GB, 14 Polegadas LED HD TN, Intel HD Graphics, Linux, Cinza;R$ 989,10
49;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Iris Xe, Windows 11, Cinza - 82MD0007BR;R$ 2.999,99
50;Notebook Compaq Presario 436 14,1´´ Intel Core I3 6157u Windows 10 Home 8gb Ram 240gb Ssd Cinza;R$ 1.869,15
51;Macbook Air M1, 8GB, 256GB SSD, Tela 13.3 Polegadas, Space Gray - MGN63LL/A;R$ 6.599,00
52;"Notebook Acer Aspire 5 Intel Core I3 1115g4 4.10ghz 11ª Geração 8gb Ddr4 256gb SSD 14"" Full Hd Windows 11 A514-54-397j";R$ 2.790,00
53;Notebook Lenovo Ideapad 3i I7-1165g7 16GB, 512GB SSD, 15.6 Polegadas Full HD, Placa De Vídeo Intel Iris® Xe, Windows 11;R$ 4.220,10
54;Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Windows 11, Cinza - 82MD0008BR;R$ 3.799,99
55;"Notebook Acer Aspire 5 A514-54-56HA, Intel Core I5 11a Geração, 8GB, 512GB SSD, 14"" Full HD, Intel Iris XE Graphics, Windows 11 Home";R$ 3.924,89
56;Notebook Dell Inspiron 15 3000 Intel Core i5;R$ 3.284,10
57;Notebook Samsung Intel Core i3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KV3BR;R$ 2.627,99
58;Notebook Lenovo Ideapad 330-15ikb, Intel Core I3-7020u, 4GB RAM, 1TB, Tela 15.6Polegadas, Windows 10;R$ 1.649,00
59;Notebook Gamer Acer Nitro AMD Ryzen 7-5800H, 8GB RAM, GeForce GTX 1650, 1TB SSD, 15.6 Full HD, Windows 11, Preto - AN515-45-R4S3;R$ 5.499,99
60;Notebook Lenovo Ideapad Gaming 3i I7-11370h, 16GB RAM, SSD 512GB, GTX 1650 4GB, 15.6 Polegadas, FHD, W11- 82mg0000br;R$ 5.550,09
61;Notebook Asus AMD Ryzen 7-3700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza - M515DA-BR1454W;R$ 3.399,99
62;Notebook VAIO FE15 Intel Core i7-1255U, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Cinza - VJFE54F11X-B0811H;R$ 3.499,99
63;"Macbook Air M1 8GB, 256GB SSD, Tela 13.3"", Gold, 2020 - MGND3LL/A";R$ 6.697,49
64;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Linux, Cinza - 82MDS00300;R$ 2.399,99
65;Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Preto - AN515-44-R11B;R$ 6.199,99
66;Notebook Gamer Acer Nitro 5 An517-54-59kr Intel Core I5 Linux Gutta 8GB 512GB SSD Gtx 1650 17.Polegadas FHD;R$ 4.369,05
67;Notebook Acer Predator Triton Pt316-51s-78v9 I7 12ª Windows 11 Home, RTX 3060 16GB 1TB SSD 16”, Wqxga;R$ 9.499,05
68;Notebook Asus Vivobook 15, Intel Core I3 1115g4 3GHz, 8GB RAM, SSD 512GB W11 Home, Tela 15,6 Led FHD, Intel Iris Xe Prata Metálico - X1500ea-ej3667w;R$ 2.520,00
69;Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GTX 1650 4GB, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Preto - 82MJS00400;R$ 5.099,99
70;Notebook Acer Aspire Vero, I5-1135g7, W11, 8GB, SSD M.2 Nvme 256GB, Tela 15.6 Polegadas, FHD - Av15-51-53ap;R$ 3.149,10
71;Notebook Legacy Cloud Win10 Home Intel Quad 4GB 64GB 14,1 Pol. HD Cinza + Microsoft 365 Personal Com 1TB Na Nuvem - Pc137;R$ 899,10
72;Notebook Acer Aspire 5 Intel Core i3-10110U, 4GB RAM, SSD 256GB NVMe, 15.6 Full HD Ultrafino, Windows 10 Home, Prata - A515-54-34LD;R$ 2.799,99
73;Notebook Multi 2 em 1 Intel Celeron N4020, 4GB RAM, 64GB, Tela 11.6 HD IPS Touch, Windows 11 Home, Microsoft Office 365, Prata - PC280;R$ 1.249,99
74;Notebook LG Gram Intel Core i5, 8GB RAM, 256GB SSD, Tela 14 IPS FHD, Windows 10 Home, Titanium - 14Z90N;R$ 5.604,74
75;Notebook Lenovo Ideapad 3I, I3-1115G4, 4GB RAM, SSD 128GB, 15.6 Full HD, Linux - 82MDS00600;R$ 3.541,00
76;Mac Mini Apple Intel Core i5, 8GB RAM, 512GB SSD, Wi-Fi e Bluetooth 5.0, Bivolt, Cinza-espacial;R$ 5.579,07
77;Notebook Acer Aspire 5 Intel Core i5-10210U, GeForce MX 250, 8GB RAM, 512GB SSD NVMe, 15.6 IPS FHD, Windows 11 Home, Prata - A515-54G-52FY;R$ 4.399,99
78;Notebook Hp 256 G8 I3-1115g4, 8GB RAM, 256GB, 15.6 Polegadas, Win 11, Home Sl;R$ 2.799,00
79;Notebook Gamer Acer Nitro 5 An515-44-r11b, AMD Ryzen 7-4800h, 8GB RAM, GTX 1650, SSD 512GB, Tela 15.6 Polegadas, Linux, Preto - Recertificado - Ouro;R$ 4.399,00
80;"Macbook Air M1 8GB, 256GB SSD, Tela 13.3"", Space Gray, 2020 - Mgn63ll/a";R$ 6.697,49
81;Notebook Acer Aspire 5 A514-54-324N Intel Core I3  11ª Gen Linux Gutta 4GB 256GB SDD 14 Polegadas Full HD;R$ 2.469,05
82;Notebook Compaq Presario 454 Intel Core I5, 8GB RAM, 240GB SSD, Tela 14 LED HD, Widescreen, Linux, Cinza;R$ 2.231,16
83;Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Windows 11 Home, Cinza - X515JA-BR2750W;R$ 2.999,99
84;Notebook Samsung Book, Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Intel Iris Xe, Windows 11 Home, Cinza - NP550XDA-KU1BR;R$ 5.399,99
85;Notebook Samsung Book Intel Core, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Cinza Chumbo - I7-1165g7;R$ 3.689,10
86;Notebook Gamer Acer Nitro 5 An515-44-r4c8, AMD Ryzen 7-4800h, RAM 16GB, SSD 256GB, HD 1TB, GTX 1650, Tela 15.6 Polegadas, Linux, Ouro, Recer;R$ 4.999,00
87;Notebook Dell Inspiron 15 Intel Core i5 16GB;R$ 3.959,10
88;Notebook Gamer Dell G15 AMD Ryzen 5 8GB;R$ 4.950,00
89;Notebook Lenovo IdeaPad 3I, I3-1115G4, 4GB RAM, SSD 128GB, Tela 15.6 FULL HD, Windows 11 - 82MD000FBR;R$ 2.183,09
90;Notebook Vaio FE14 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 14 Full HD, Windows 11, Cinza Grafite - VJFE44F11X-B0111H;R$ 3.499,99
91;Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD M.2 NVMe, 15.6 IPS FHD, Windows 10 Home, Cinza Escuro - 15Z90N-V.BJ51P2;R$ 4.799,99
92;Notebook Vaio FE15 Intel Core i3-1215U, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0521H;R$ 2.599,99
93;Notebook Asus Vivobook 15 AMD Ryzen 5-4600H, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Prata Metálico - M1502IA-EJ251W;R$ 3.139,99
94;Macbook Apple Air, M1, 8GB RAM, SSD 256GB, 13 Polegadas, Prata;R$ 6.279,00
95;Notebook Gamer Lenovo Ideapad Gaming 3I, I5-11300H, 8GB RAM, GTX 1650 4GB, SSD 512GB, Tela 15 Full HD, Windows 11 - 3I 82MG0009BR;R$ 4.221,11
96;"Notebook Gamer Acer Nitro 5 Intel Core I5 8GB Gtx 1650, 512gb Ssd 17.3"" W11 Home Preto - An517-54-55t5";R$ 4.844,05
97;Notebook Gamer Acer Nitro 5 Intel Core I5, 8GB, GTX 1650, SSD 512GB, Tela 15.6 FHD, Windows 11 - An515-57-52lc;R$ 4.499,10
